title,summary,alternative_names
Abdominal tap,An abdominal tap is used to remove fluid from the area between the belly wall and the spine. This space is called the abdominal cavity or peritoneal cavity.,Peritoneal tap; Paracentesis; Ascites - abdominal tap; Cirrhosis - abdominal tap; Malignant ascites - abdominal tap
Abdominal thrusts,"Choking is when someone is having a very hard time breathing because food, a toy, or other object is blocking the throat or windpipe (airway).A choking person's airway may be blocked so that not enough oxygen reaches the lungs. Without oxygen, brain damage can occur in as little as 4 to 6 minutes. Rapid first aid for choking can save a person's life.Abdominal thrusts is an emergency technique to help clear someone's airway.The procedure is done on someone who is choking and also conscious.Most experts do not recommend abdominal thrusts for infants less than 1 year old.You can also perform the maneuver on yourself.",Choking - Heimlich maneuver
Abdominal ultrasound,"Abdominal ultrasound is a type of imaging test. It is used to look at organs in the abdomen, including the liver, gallbladder, spleen, pancreas, and kidneys. The blood vessels that lead to some of these organs, such as the inferior vena cava and aorta, can also be examined with ultrasound.",Ultrasound - abdomen; Abdominal sonogram; Right upper quadrant sonogram
Abdominal wall fat pad biopsy,An abdominal wall fat pad biopsy is the removal of a small part of the abdominal wall fat pad for laboratory study of the tissue.,Amyloidosis - abdominal wall fat pad biopsy; Abdominal wall biopsy; Biopsy - abdominal wall fat pad
Abdominal wall surgery,"Abdominal wall surgery is a procedure that improves the appearance of flabby, stretched-out abdominal (belly) muscles and skin. It is also called a tummy tuck. It can range from a simple mini-tummy tuck to more extensive surgery.Abdominal wall surgery is not the same as liposuction, which is another way to remove fat. But, abdominal wall surgery is sometimes combined with liposuction.",Cosmetic surgery of the abdomen; Tummy tuck; Abdominoplasty
Abdominal x-ray,"An abdominal x-ray is an imaging test to look at organs and structures in the abdomen. Organs include the liver, spleen, stomach, and intestines.When the test is done to look at the bladder and kidney structures, it is called a KUB (kidneys, ureters, bladder) x-ray.",Abdominal film; X-ray - abdomen; Flat plate; KUB x-ray
Abnormal hemoglobins testing,Hemoglobin is a protein in red blood cells that moves oxygen and carbon dioxide between the lungs and body tissues.Hemoglobin derivatives are forms of hemoglobin altered by attachment of carbon monoxide or certain drugs. High levels of hemoglobin derivatives prevent adequate transport of oxygen and carbon dioxide and cause illness.This article discusses the test used to detect and measure the amount of hemoglobin derivatives in your blood.,Methemoglobin; Carboxyhemoglobin; Sulfhemoglobin
Abnormal uterine bleeding,"Abnormal uterine bleeding (AUB) is bleeding from the uterus that is longer than usual or that occurs at an irregular time. Bleeding may be heavier or lighter than usual and occur often or randomly.AUB can occur:As spotting or bleeding between your periodsAfter sexFor more days than your normal periodHeavier than normalAfter menopauseIt does not occur during pregnancy. Bleeding during pregnancy has different causes. If you have any bleeding when you are pregnant, be sure to contact your health care provider.",Anovulatory bleeding; Abnormal uterine bleeding - hormonal; Polymenorrhea - dysfunctional uterine bleeding
Abnormally dark or light skin,Abnormally dark or light skin is skin that has turned darker or lighter than normal.,Hyperpigmentation; Hypopigmentation; Skin - abnormally light or dark
ABO incompatibility,"A, B, AB, and O are the 4 major blood types. The types are based on small substances (molecules) on the surface of the blood cells.When people who have one blood type receive blood from someone with a different blood type, it may cause their immune system to react. This is called ABO incompatibility.Due to modern testing techniques, this problem is very rare.",Transfusion reaction - hemolytic; Acute hemolytic transfusion reaction; AHTR; Blood incompatibility - ABO
Abortion - medication,A medication abortion is the use of medicine to end an undesired pregnancy. The medicine helps remove the fetus and placenta from the woman's womb (uterus). Medication abortion is also called the abortion pill.A medication abortion is not the same as a miscarriage. Miscarriage is when a pregnancy ends on its own before the 20th week of pregnancy. Miscarriage is sometimes called a spontaneous abortion.An abortion procedure uses a medical procedure to end a pregnancy.,Medical abortion; Induced abortion; Nonsurgical abortion
Abortion - procedure,An abortion is a medical procedure that ends an undesired pregnancy by removing the fetus and placenta from the woman's uterus (womb). A medication abortion uses medicine to end an undesired pregnancy.An abortion is not the same as miscarriage. Miscarriage is when a pregnancy ends on its own before the 20th week of pregnancy.,Suction curettage; Surgical abortion; Elective abortion - surgical; Therapeutic abortion - surgical
Abortion - procedure - aftercare,You have had an abortion procedure. This procedure ends pregnancy by removing the fetus and placenta from your uterus (womb).,Termination - aftercare
Abscess,"An abscess is a collection of pus in any part of the body. In most cases, the area around an abscess is swollen and inflamed.",
Abscess - abdomen or pelvis,"An abdominal abscess is a pocket of infected fluid and pus located inside the belly (abdominal cavity). This type of abscess can be located near or inside the liver, pancreas, kidneys or other organs. There can be one or more abscesses.",Abscess - intra-abdominal; Pelvic abscess
Absence of sweating,An abnormal lack of sweat in response to heat may be harmful because sweating allows heat to be released from the body. The medical term for absent sweating is anhidrosis.,Decreased sweating; Anhidrosis
Absence seizure,An absence seizure is the term for a type of seizure involving staring spells. This type of seizure is a brief (usually less than 15 seconds) change in awareness due to abnormal electrical activity in the brain.,Seizure - petit mal; Seizure - absence; Petit mal seizure; Epilepsy - absence seizure; Non-motor generalized seizure
Absent menstrual periods - primary,"Absence of a woman's monthly menstrual period is called amenorrhea.Primary amenorrhea is when a girl has not yet started her monthly periods, and she:Has gone through other normal changes that occur during pubertyIs older than 15",Primary amenorrhea; No periods - primary; Absent periods - primary; Absent menses - primary; Absence of periods - primary
Absent menstrual periods - secondary,Absence of a woman's monthly menstrual period is called amenorrhea. Secondary amenorrhea is when a woman who has been having normal menstrual cycles stops getting her periods for 6 months or longer.,Amenorrhea - secondary; No periods - secondary; Absent periods - secondary; Absent menses - secondary; Absence of periods - secondary
Absent pulmonary valve,"Absent pulmonary valve is a rare defect in which the pulmonary valve is either missing or poorly formed. Oxygen-poor blood flows through this valve from the heart to the lungs, where it picks up fresh oxygen. This condition is present at birth (congenital).",Absent pulmonary valve syndrome; Congenital absence of the pulmonary valve; Pulmonary valve agenesis; Cyanotic heart disease - pulmonary valve; Congenital heart disease - pulmonary valve; Birth defect heart - pulmonary valve
Acanthosis nigricans,"Acanthosis nigricans (AN) is a skin disorder in which there is darker, thick, velvety skin in body folds and creases.",AN; Skin pigment disorder - acanthosis nigricans
ACE blood test,The ACE test measures the level of angiotensin-converting enzyme (ACE) in the blood.,Serum angiotensin-converting enzyme; SACE
ACE inhibitors,"Angiotensin-converting enzyme (ACE) inhibitors are medicines. They treat heart, blood vessel, and kidney problems.",Angiotensin-converting enzyme inhibitors
Acetaminophen and codeine overdose,"Acetaminophen (Tylenol) and codeine is a prescription pain medicine. It is an opioid pain reliever used only for pain that is severe and is not helped by other types of painkillers.Acetaminophen and codeine overdose occurs when someone takes more than the normal or recommended amount of this medicine, either by accident or on purpose.This article is for information only. Do not use it to treat or manage an actual overdose. If you or someone you are with overdoses, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",Tylenol #3 overdose; Phenaphen with codeine overdose; Tylenol with codeine overdose
Acetaminophen dosing for children,"Taking acetaminophen (Tylenol and other brands) can help children with colds and fever feel better. As with all drugs, it is important to give children the correct dose. Acetaminophen is safe when taken as directed. But, taking too much of this medicine can be harmful.",Tylenol
Acetaminophen overdose,"Acetaminophen (most common brand name Tylenol) is a pain medicine. Acetaminophen overdose occurs when someone takes more than the recommended amount of this medicine.Acetaminophen overdose is one of the most common poisonings. People often think that this medicine is very safe. However, it can be deadly if taken in large doses.This article is for information only. DO NOT use it to treat or manage an actual overdose. If you or someone you are with overdoses, call the local emergency number (such as 911), or the local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",Tylenol overdose; Paracetamol overdose
Acetone poisoning,"Acetone is a chemical used in many household products. This article discusses poisoning from swallowing acetone-based products. Poisoning may also occur from breathing in fumes or absorbing it through the skin.This is for information only and not for use in the treatment or management of an actual poison exposure. If you have an exposure, you should call your local emergency number (such as 911) or the local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",Dimethyl formaldehyde poisoning; Dimethyl ketone poisoning; Nail polish remover poisoning
Acetylcholine receptor antibody,Acetylcholine receptor antibody is a protein found in the blood of many people with myasthenia gravis. The antibody affects the part of nerve cells that send signals from nerves to muscles.This article discusses the blood test for acetylcholine receptor antibody.,
Achalasia,The tube that carries food from the mouth to the stomach is the esophagus or food pipe. Achalasia makes it harder for the esophagus to move food into the stomach.,Esophageal achalasia; Swallowing problems for liquids and solids; Cardiospasm - lower esophageal sphincter spasm
Aches and pains during pregnancy,"During pregnancy, your body will go through a lot of changes as your baby grows and your hormones change. Along with the other common symptoms during pregnancy, you will often notice new aches and pains.",
Achilles tendinitis,"Achilles tendinitis occurs when the tendon that connects the back of your leg to your heel becomes swollen and painful near the bottom of the foot. This tendon is called the Achilles tendon. It allows you to push your foot down. You use your Achilles tendon when walking, running, and jumping.",Tendinitis of the heel; Heel pain - Achilles
Achilles tendon repair,"Your Achilles tendon joins your calf muscle to your heel. You can tear your Achilles tendon if you land hard on your heel during sports, from a jump, accelerating when you are pushing off, or when stepping into a hole.Surgery to repair the Achilles tendon is done if your Achilles tendon has a complete tear.",Achilles tendon rupture - surgery; Percutaneous Achilles tendon rupture repair
Achilles tendon rupture - aftercare,"The Achilles tendon connects your calf muscles to your heel bone. Together, they help you push your heel off the ground and go up on your toes. You use these muscles and your Achilles tendon when you walk, run, and jump.If your Achilles tendon stretches too far, it can tear or rupture. If this happens, you may:Hear a snapping, cracking, or popping sound and feel a sharp pain in the back of your leg or ankleHave trouble moving your foot to walk or go up stairsHave difficulty standing on your toesHave bruising or swelling in your leg or footFeel like someone hit you at the back of your ankle with a bat",Heel cord tear; Calcaneal tendon rupture
Achondrogenesis,Achondrogenesis is a rare type of growth hormone deficiency in which there is a defect in the development of bone and cartilage.,
Achondroplasia,Achondroplasia is a disorder of bone growth that causes the most common type of dwarfism.,Dwarf; Dwarfism; Achondroplastic dwarfism
Acid loading test (pH),The acid loading test (pH) measures the ability of the kidneys to send acid to the urine when there is too much acid in the blood. This test involves both a blood test and urine test.,Renal tubular acidosis - acid loading test
Acid mucopolysaccharides,Acid mucopolysaccharides is a test that measures the amount of mucopolysaccharides released into the urine either during one episode or over a 24-hour period.Mucopolysaccharides are long chains of sugar molecules in the body. They are often found in mucus and in fluid around the joints.,AMP; Dermatan sulfate - urine; Urine heparan sulfate; Urine dermatan sulfate; Heparan sulfate - urine
Acid soldering flux poisoning,"Acid soldering flux is a chemical used to clean and protect the area where two pieces of metal are joined together. Flux poisoning occurs when someone swallows this substance.This article is for information only. DO NOT use it to treat or manage an actual poison exposure. If you or someone you are with has an exposure, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",Fluxes; Flux poisoning
Acid-fast stain,"The acid-fast stain is a laboratory test that determines if a sample of tissue, blood, or other body substance is infected with the bacteria that causes tuberculosis (TB) and other illnesses.",
Acidosis,Acidosis is a condition in which there is too much acid in the body fluids. It is the opposite of alkalosis (a condition in which there is too much base in the body fluids).,
ACL reconstruction,"ACL reconstruction is surgery to reconstruct the ligament in the center of your knee. The anterior cruciate ligament (ACL) connects your shin bone (tibia) to your thigh bone (femur). A tear of this ligament can cause your knee to give way during physical activity, most often during side-step or crossover movements.",Anterior cruciate ligament repair; Knee surgery - ACL; Knee arthroscopy - ACL
ACL reconstruction - discharge,You had surgery to repair a damaged ligament in your knee called the anterior cruciate ligament (ACL). This article tells you how to care for yourself when you go home from the hospital.,Anterior cruciate ligament reconstruction - discharge
Acne,"Acne is a skin condition that causes pimples or ""zits."" Whiteheads, blackheads, and red, inflamed patches of skin (such as cysts) may develop.",Acne vulgaris; Cystic acne; Pimples; Zits
Acne - self-care,"Acne is a skin condition that causes pimples or ""zits."" Whiteheads (closed comedones), blackheads (open comedones), red, inflamed papules, and nodules or cysts may develop. These most often occur on the face, neck, upper trunk and upper arms.Acne occurs when tiny pores on the surface of the skin become clogged. The pores can become plugged by substances on the surface of the skin. More commonly they develop from a mixture of the natural oils of the skin and the dead cells shed from the inside of the pore. These plugs are called comedones. Acne is most common in teenagers. But anyone can get acne.Acne breakouts can be triggered by:Hormonal changesUse of oily skin or hair care productsCertain medicinesSweatHumidityDiet",Acne vulgaris - self-care; Cystic acne - self-care; Pimples - self-care; Zits - self-care
Acoustic neuroma,"An acoustic neuroma is a slow-growing tumor of the nerve that connects the ear to the brain. This nerve is called the vestibular cochlear nerve. It is behind the ear, right under the brain.An acoustic neuroma is a benign tumor. This means that it does not spread to other parts of the body. However, it can damage several important nearby nerves as it grows.",Vestibular schwannoma; Tumor - acoustic; Cerebellopontine angle tumor; Angle tumor; Hearing loss - acoustic; Tinnitus - acoustic
Acoustic trauma,Acoustic trauma is injury to the hearing mechanisms in the inner ear. It is due to very loud noise.,Injury - inner ear; Trauma - inner ear; Ear injury
Acquired platelet function defect,Acquired platelet function defects are conditions that prevent clotting elements in the blood called platelets from working as they should. The term acquired means these conditions are not present at birth.,Acquired qualitative platelet disorders; Acquired disorders of platelet function
Acrodysostosis,"Acrodysostosis is an extremely rare disorder that is present at birth (congenital). It leads to problems with the bones of the hands, feet, and nose, and intellectual disability.",Arkless-Graham; Acrodysplasia; Maroteaux-Malamut
Acromegaly,Acromegaly is a condition in which there is too much growth hormone (GH) in your body.,Somatotroph adenoma; Growth hormone excess; Growth hormone secreting pituitary adenoma; Pituitary giant (in childhood)
ACTH blood test,The ACTH test measures the level of adrenocorticotropic hormone (ACTH) in the blood. ACTH is a hormone released from the pituitary gland at the base of the brain.,Serum adrenocorticotropic hormone; Adrenocorticotropic hormone; Highly-sensitive ACTH
ACTH stimulation test,The ACTH stimulation test measures how well the adrenal glands respond to adrenocorticotropic hormone (ACTH). ACTH is a hormone produced in the pituitary gland that stimulates the adrenal glands to release a hormone called cortisol.,Test of adrenal reserve; Cosyntropin stimulation test; Cortrosyn stimulation test; Synacthen stimulation test; Tetracosactide stimulation test
Actinic keratosis,"Actinic keratosis is a small, rough, raised area on your skin. Often this area has been exposed to the sun over a long period of time.Some actinic keratoses may develop into a type of skin cancer.",Solar keratosis; Sun-induced skin changes - keratosis; Keratosis - actinic (solar); Skin lesion - actinic keratosis
Actinomycosis,Actinomycosis is a long-term (chronic) bacterial infection that commonly affects the face and neck.,Lumpy jaw
Acute,"Acute means sudden. Acute symptoms appear, change, or worsen rapidly. It is the opposite of chronic.",
Acute adrenal crisis,Acute adrenal crisis is a life-threatening condition that occurs when there is not enough cortisol. This is a hormone produced by the adrenal glands.,Adrenal crisis; Addisonian crisis; Acute adrenal insufficiency
Acute arterial occlusion - kidney,"Acute arterial occlusion of the kidney is a sudden, severe blockage of the artery that supplies blood to the kidney.",Acute renal arterial thrombosis; Renal artery embolism; Acute renal artery occlusion; Embolism - renal artery
Acute bronchitis,"Acute bronchitis is swelling and inflamed tissue in the bronchi, the main passages that carry air to the lungs. This swelling narrows the airways, which makes it harder to breathe. Other symptoms of bronchitis are a cough and coughing up mucus. Acute means the symptoms have been present only for a short time.",
Acute cerebellar ataxia,"Acute cerebellar ataxia is sudden inability to coordinate muscle movement due to disease or injury to the cerebellum. This is the area in the brain that controls muscle movement. Ataxia means loss of muscle coordination, especially of the hands and legs.",Cerebellar ataxia; Ataxia - acute cerebellar; Cerebellitis; Post-varicella acute cerebellar ataxia; PVACA
Acute cholecystitis,Acute cholecystitis is sudden swelling and irritation of the gallbladder. It causes severe belly pain.,Cholecystitis - acute; Gallstones - acute cholecystitis
Acute coronary syndrome,"Acute coronary syndrome is a term for a group of conditions that suddenly stop or severely reduce blood from flowing to the heart muscle. When blood cannot flow to the heart muscle, the heart muscle can become damaged. Heart attack and unstable angina are both acute coronary syndromes (ACS).",Heart attack - ACS; Myocardial infarction - ACS; MI - ACS; Acute MI - ACS; ST elevation myocardial infarction - ACS; Non ST-elevation myocardial infarction - ACS; Unstable angina - ACS; Accelerating angina - ACS; Angina - unstable-ACS; Progressive angina
Acute flaccid myelitis,"Acute flaccid myelitis is a rare condition that affects the nervous system. Inflammation of the gray matter in the spinal cord leads to muscle weakness and paralysis.Acute flaccid myelitis (AFM) is usually caused by infection with a virus. While AFM is rare, there has been a slight increase in cases of AFM since 2014. Most new cases have occurred in children or young adults.",Acute flaccid myelitis; AFM; Polio-like syndrome; Acute flaccid paralysis; Acute flaccid paralysis with anterior myelitis; Anterior myelitis; Enterovirus D68; Enterovirus A71
Acute kidney failure,Acute kidney failure is the rapid (less than 2 days) loss of your kidneys' ability to remove waste and help balance fluids and electrolytes in your body.,Kidney failure; Renal failure; Renal failure - acute; ARF; Kidney injury - acute
Acute lymphoblastic leukemia (ALL),"Acute lymphoblastic leukemia (ALL) is a fast-growing cancer of a type of white blood cells called lymphocytes. ALL occurs when the bone marrow produces a large number of immature lymphoblasts, a cancerous form of lymphocytes. Bone marrow is the soft, spongy tissue found inside most bones in children and in the front chest bone (sternum) and the pelvis bones in adults that helps form all blood cells. The abnormal lymphoblasts grow quickly and replace normal cells in the bone marrow. ALL prevents healthy blood cells from being made. Life-threatening symptoms can occur as normal blood counts drop.",ALL; Acute lymphoblastic leukemia; Acute lymphoid leukemia; Acute childhood leukemia; Cancer - acute childhood leukemia (ALL); Leukemia - acute childhood (ALL); Acute lymphocytic leukemia
Acute mountain sickness,"Acute mountain sickness is an illness that can affect mountain climbers, hikers, skiers, or travelers at high altitudes, usually above 8000 feet (2400 meters).",High altitude cerebral edema; Altitude anoxia; Altitude sickness; Mountain sickness; High altitude pulmonary edema
Acute myeloid leukemia - adult,Acute myeloid leukemia (AML) is cancer that starts inside bone marrow. This is the soft tissue in the center of bones that helps form all blood cells. The cancer grows from cells that would normally turn into white blood cells.Acute means the disease grows quickly and usually has an aggressive course.,Acute myelogenous leukemia; AML; Acute granulocytic leukemia; Acute nonlymphocytic leukemia (ANLL); Leukemia - acute myeloid (AML); Leukemia - acute granulocytic; Leukemia - nonlymphocytic (ANLL)
Acute myeloid leukemia (AML) - children,"Acute myeloid leukemia is a cancer of the white blood cells within the blood and bone marrow. Bone marrow is the soft tissue inside bones that generates all blood components including white blood cells. ""Acute"" means the cancer develops quickly and ""myeloid"" is the type of white cells that become cancerous.Both adults and children can get acute myeloid leukemia (AML). This article is about AML in children.",Acute myelogenous leukemia - children; AML - children; Acute granulocytic leukemia - children; Acute myeloblastic leukemia - children; Acute non-lymphocytic leukemia (ANLL) - children
Acute nephritic syndrome,"Acute nephritic syndrome is a group of symptoms that occur with some disorders that cause swelling and inflammation of the glomeruli in the kidney, or glomerulonephritis.",Glomerulonephritis - acute; Acute glomerulonephritis; Nephritis syndrome - acute
Acute pancreatitis,Acute pancreatitis is sudden swelling and inflammation of the pancreas.,Gallstone pancreatitis; Pancreas - inflammation
Acute respiratory distress syndrome,Acute respiratory distress syndrome (ARDS) is a life-threatening lung condition that prevents enough oxygen from getting to the lungs and into the blood. Infants can also have respiratory distress syndrome.,Noncardiogenic pulmonary edema; Increased-permeability pulmonary edema; ARDS; Acute lung injury
Acute tubular necrosis,"Acute tubular necrosis (ATN) is a kidney disorder involving damage to the tubule cells of the kidneys, which can lead to acute kidney failure. The tubules are tiny ducts in the kidneys that help filter the blood when it passes through the kidneys.",Necrosis - renal tubular; ATN; Necrosis - acute tubular
Addison disease,Addison disease is a disorder that causes the adrenal glands to not produce enough hormones.,Adrenocortical hypofunction; Chronic adrenocortical insufficiency; Primary adrenal insufficiency; Addison's disease
Adenoid removal,Adenoid removal is surgery to take out the adenoid glands. The adenoid glands sit behind your nose above the roof of your mouth in the nasopharynx. Air passes over these glands when you take a breath.The adenoids are often taken out at the same time as the tonsils (tonsillectomy).Adenoid removal is also called adenoidectomy. The procedure is most often done in children.,Adenoidectomy; Removal of adenoid glands
Adenomyosis,Adenomyosis is a thickening of the walls of the uterus. It occurs when endometrial tissue grows into the outer muscular walls of the uterus. Endometrial tissue forms the lining of the uterus.,Endometriosis interna; Adenomyoma; Pelvic pain - adenomyosis
Adhesion,Adhesions are bands of scar-like tissue that form between two surfaces inside the body and cause them to stick together.,Pelvic adhesion; Intraperitoneal adhesion; Intrauterine adhesion
Adjustment disorder,"Adjustment disorder is a group of symptoms, such as stress, anxiety, feeling sad or hopeless, and physical symptoms that can occur after you go through a stressful life event.The symptoms occur because you are having a hard time coping. Your reaction is stronger than expected for the type of event that occurred.",
Adolescent development,The development of children ages 12 through 18 years old should include expected physical and mental milestones.,Development - adolescent; Growth and development - adolescent
Adolescent test or procedure preparation,"Preparing for a medical test or procedure can reduce anxiety, encourage cooperation, and help your teen develop coping skills.",Test/procedure preparation - adolescent; Preparing adolescent for test/procedure; Preparing for a medical test or procedure - adolescent
Adrenal gland removal,Adrenal gland removal is an operation in which one or both adrenal glands are removed. The adrenal glands are part of the endocrine system and are located just above the kidneys.,Adrenalectomy; Removal of adrenal glands
Adrenal glands,The adrenal glands are two small triangle-shaped glands in the upper abdomen. One gland is located on top of each kidney.,
Adrenergic bronchodilator overdose,"Adrenergic bronchodilators are inhaled medicines that help open up the airways. They are used to treat asthma and chronic bronchitis. Adrenergic bronchodilator overdose occurs when someone accidentally or intentionally takes more than the normal or recommended amount of this medicine. This can be by accident or on purpose.This article is for information only. DO NOT use it to treat or manage an actual overdose. If you or someone you are with overdoses, call your local emergency number (such as 911), or your local poison control center can be reached directly by calling the national toll-free Poison Help hotline (1-800-222-1222) from anywhere in the United States.",
Adrenocortical carcinoma,Adrenocortical carcinoma (ACC) is a cancer of the adrenal glands. The adrenal glands are two triangle-shaped glands. One gland is located on top of each kidney.,Tumor - adrenal; ACC - adrenal
Adrenoleukodystrophy,Adrenoleukodystrophy (ALD) describes several closely related disorders that disrupt the breakdown of certain fats. These disorders are often passed down (inherited) in families.,X-linked Adrenoleukodystrophy; Adrenomyeloneuropathy; Childhood cerebral adrenoleukodystrophy; ALD; Schilder-Addison Complex
Adult soft tissue sarcoma,"Soft tissue sarcoma (STS) is cancer that forms in the soft tissue of the body. Soft tissue connects, supports, or surrounds other body parts. In adults, STS is rare.There are many different types of soft tissue cancers. The type of sarcoma depends on the tissue it forms in:MusclesTendonsFatBlood vesselsLymph vesselsNervesTissues in and around jointsThe cancer can form almost anywhere, but is most common in the:HeadNeckArmsLegsTrunkAbdomen",STS; Leiomyosarcoma; Hemangiosarcoma; Kaposi's sarcoma; Lymphangiosarcoma; Synovial sarcoma; Neurofibrosarcoma; Liposarcoma; Fibrosarcoma; Malignant fibrous histiocytoma; Dermatofibrosarcoma; Angiosarcoma
